Year,Month,Day,Hour,Minute,Latitude,Longitude,Magnitude,Dangerous
2010,6,12,23,15,15.96,-96.92,4,0
2010,6,12,23,24,17.47,-95.84,4,0
2010,6,13,2,48,22.75,-108.13,4.8,0
2010,6,13,3,41,23.36,-107.91,4.3,0
2010,6,13,8,14,17.02,-102.93,4.2,0
2010,6,13,14,27,14.92,-93.72,4,0
2010,6,14,0,49,15.67,-94.1,4.1,0
2010,6,14,2,2,32.26,-115.27,4.3,0
2010,6,14,15,7,14.96,-91.45,4.1,0
2010,6,14,17,33,17.37,-94.39,4.1,0
2010,6,14,21,38,16.01,-96.61,4,0
2010,6,14,23,26,32.87,-115.84,5.7,1
2010,6,15,0,34,32.82,-115.94,4.6,0
2010,6,15,1,52,32.39,-115.9,4.1,0
2010,6,15,3,2,14.31,-91.96,4.3,0
2010,6,15,3,14,32.89,-115.88,4,0
2010,6,15,3,32,14.97,-94.6,4.4,0
2010,6,15,11,32,32.93,-115.84,4.1,0
2010,6,16,3,20,14,-93.46,4,0
2010,6,16,17,32,31.07,-115.63,4,0
2010,6,16,21,26,17.3,-95.06,4.1,0
2010,6,17,1,57,31.13,-115.64,4.8,0
2010,6,17,2,12,24.21,-109.15,4.9,0
2010,6,18,20,41,17.17,-97.86,4,0
2010,6,19,9,55,15.9,-95.83,4.1,0
2010,6,19,19,11,16.23,-97.13,4,0
2010,6,20,9,37,17.46,-94.26,4.1,0
2010,6,20,18,22,13.94,-91.39,4.3,0
2010,6,21,0,8,14.14,-91.77,4.5,0
2010,6,21,1,26,14.1,-91.8,4.4,0
2010,6,21,17,16,14.67,-94.51,4,0
2010,6,22,4,15,14.46,-94.03,4.3,0
2010,6,22,20,33,17.24,-95.6,4.2,0
2010,6,23,11,16,15.93,-98.67,4.1,0
2010,6,24,11,46,15.54,-96.49,4.2,0
2010,6,24,12,25,14.84,-96.68,4.1,0
2010,6,25,6,6,15.4,-94.51,4,0
2010,6,25,12,8,15.22,-96.44,5.1,1
2010,6,25,16,17,16.39,-94.02,4.3,0
2010,6,25,18,23,31.08,-115.75,4.5,0
2010,6,25,20,4,15.42,-96.44,4,0
2010,6,26,19,56,17.41,-94.84,4.2,0
2010,6,26,23,20,15.98,-96.79,4.1,0
2010,6,28,0,46,14.22,-91.31,4.2,0
2010,6,28,4,17,17.24,-101.25,4,0
2010,6,28,6,4,17.9,-102.03,4.4,0
2010,6,28,6,39,32,-115.58,4.1,0
2010,6,28,13,50,32.32,-115.18,4,0
2010,6,29,16,24,16.47,-98.44,4,0
2010,6,29,17,31,30.99,-115.83,4,0
2010,6,30,2,22,16.22,-98.03,6,1
2010,6,30,2,48,16.23,-98.04,4.1,0
2010,6,30,3,34,16.18,-98.08,4.1,0
2010,6,30,4,15,16.22,-97.98,4.2,0
2010,6,30,7,56,16.22,-97.94,4.1,0
2010,6,30,8,26,16.2,-97.95,4.1,0
2010,6,30,10,52,16.22,-97.97,4.1,0
2010,7,1,2,20,15.67,-95.29,4,0
2010,7,1,5,58,16.18,-94.32,4,0
2010,7,1,13,13,32.18,-114.85,4.1,0
2010,7,1,23,28,16.86,-94.11,4.2,0
2010,7,2,0,48,17.61,-94.65,4.1,0
2010,7,2,10,30,14.85,-92.82,4.5,0
2010,7,2,12,6,32.18,-115.04,4,0
2010,7,4,1,8,13.28,-91.34,4.1,0
2010,7,4,3,54,16.29,-97.96,4.3,0
2010,7,4,9,18,16.66,-99.74,4,0
2010,7,4,19,6,18.45,-100.22,4.1,0
2010,7,5,20,44,16.24,-98.05,4.2,0
2010,7,5,21,38,32.14,-114.8,4,0
2010,7,5,23,44,16.3,-98.53,4.1,0
2010,7,6,11,4,13.66,-92.34,4,0
2010,7,6,11,38,32.37,-115.18,4.1,0
2010,7,6,13,50,14.03,-94.01,4,0
2010,7,7,0,24,18.12,-98.43,4,0
2010,7,7,2,19,13.74,-91.37,4.7,0
2010,7,7,3,16,17.33,-100.8,4,0
2010,7,7,4,32,15.43,-94.77,4,0
2010,7,7,15,20,16.21,-91.36,4.1,0
2010,7,7,16,35,15.04,-94.31,4.3,0
2010,7,7,18,18,17.46,-94.71,4.1,0
2010,7,8,10,58,17.94,-99.49,4.1,0
2010,7,8,18,27,14.78,-94.3,4.1,0
2010,7,9,8,13,17.23,-94.76,4.2,0
2010,7,9,9,36,16.05,-98.18,4.1,0
2010,7,9,11,5,16.74,-94.92,4.2,0
2010,7,9,15,49,16.04,-98.15,4.1,0
2010,7,9,20,46,15.81,-96.22,4.2,0
2010,7,9,21,8,15.34,-92.88,4.8,0
2010,7,10,8,23,17.85,-95.2,4.1,0
2010,7,10,10,42,14.91,-94.44,4.1,0
2010,7,10,15,3,15.36,-94.59,4.1,0
2010,7,11,1,10,16.02,-97.69,4,0
2010,7,11,1,37,15.96,-97.68,4.3,0
2010,7,11,1,41,15.99,-97.69,4,0
2010,7,11,14,57,16.44,-99.35,4,0
2010,7,12,7,2,17.05,-95.53,4,0
2010,7,12,12,43,16.88,-95.11,4.2,0
2010,7,12,20,41,15.97,-97.72,4,0
2010,7,13,0,57,16.96,-94.43,4.1,0
2010,7,13,1,15,16.44,-99.75,4.1,0
2010,7,13,5,2,16.01,-97.53,4.3,0
2010,7,13,6,14,15.76,-95.51,4.3,0
2010,7,13,23,24,15.16,-96.14,4.4,0
2010,7,14,4,19,17.81,-97.59,4.2,0
2010,7,14,5,52,16.23,-98.12,4.3,0
2010,7,14,9,37,15.82,-93.7,4.1,0
2010,7,14,10,17,32.13,-115.21,4.5,0
2010,7,14,10,39,16.24,-97.89,4,0
2010,7,14,23,35,16.98,-94.64,4,0
2010,7,15,0,19,15.95,-98.03,4,0
